timestamp,open,high,low,close,adjusted close,volume,dividend amount
2009-08-31,31.5500,34.3400,30.7600,33.9500,4.7079,56283684,0.0000
2009-07-31,30.9600,31.9500,29.6800,31.1000,4.3127,63828704,0.0000
2009-06-30,32.6000,33.1100,30.1300,30.8500,4.2780,67723444,0.1187
2009-05-29,29.4000,32.5700,29.1200,32.3500,4.4216,71906172,0.0000
2009-04-30,34.2800,36.5000,29.1200,29.1500,3.9842,87546348,0.0000
2009-03-31,33.3800,35.9500,30.6300,34.6800,4.7400,58896764,0.1187
2009-02-27,34.1200,35.2600,31.1900,33.9200,4.5667,54596636,0.0000
2009-01-30,36.6100,37.5000,33.1700,34.7600,4.6798,54323664,0.0000
2008-12-31,38.2500,39.5000,32.2700,37.1700,5.0043,76967144,0.1187
2008-11-28,42.5700,43.6600,33.8000,39.2200,5.2132,69908296,0.0000
2008-10-31,38.8700,43.6500,34.1200,42.5700,5.6585,98317392,0.0000
2008-09-30,43.2300,43.7600,36.0100,38.8700,5.1667,102166184,0.1125
2008-08-29,38.4900,42.7900,37.5000,42.6500,5.6069,57691408,0.0000
2008-07-31,43.7500,43.7500,37.3000,38.0000,4.9956,77022516,0.0000
2008-06-30,47.5100,47.7800,42.1000,42.8700,5.6358,63965012,0.1125
2008-05-30,46.3200,48.8700,45.3000,47.8000,6.2230,62267308,0.0000
2008-04-30,45.1000,47.4800,43.6600,46.3200,6.0303,60498812,0.0000
2008-03-31,44.9000,45.7000,41.5500,44.7000,5.8194,88777024,0.1125
2008-02-29,43.8600,47.4300,41.5100,44.9200,5.7881,66626300,0.0000
2008-01-31,49.6400,49.9000,41.0500,43.6400,5.6231,103634120,0.0000
2007-12-31,46.8700,49.6800,41.9700,49.4400,6.3705,103331284,0.1125
2007-11-30,57.0200,57.4200,46.0400,46.8200,5.9750,120693592,0.0000
2007-10-31,57.8000,58.9500,54.9200,57.4500,7.3316,75396552,0.0000
2007-09-28,55.8600,58.4800,54.5400,57.5000,7.3380,66552064,0.0938
2007-08-31,59.0000,60.7000,51.1200,55.8500,7.0789,139503336,0.0000
2007-07-31,64.5000,65.9900,59.3200,59.4300,7.5326,74775104,0.0000
2007-06-29,65.0900,66.1700,61.3000,63.7700,8.0827,109056008,0.0938
2007-05-31,61.2600,66.4500,60.3500,65.0900,8.2027,58475312,0.0000
2007-04-30,59.3800,65.5900,58.6500,61.5400,7.7554,90833872,0.0000
2007-03-30,55.5100,60.8000,54.9800,58.9000,7.4227,96222316,0.0938
2007-02-28,55.9700,58.9900,55.6500,56.3500,7.0549,81461936,0.0000
2007-01-31,53.5500,56.5600,53.0000,55.8500,6.9923,82583032,0.0000
2006-12-29,56.0200,57.4900,52.1500,53.5200,6.7006,84833300,0.0938
2006-11-30,54.0000,58.7000,53.0000,56.0200,6.9675,139506424,0.0000
2006-10-31,62.9500,65.6000,60.3700,64.9300,8.0757,118017404,0.0000
2006-09-29,54.6500,64.7400,52.5400,62.9000,7.8232,163599328,0.0688
2006-08-31,49.0000,54.9700,48.4600,54.2500,6.7133,92781392,0.0000
2006-07-31,45.7800,49.1200,44.3900,48.9000,6.0512,51930432,0.0000
2006-06-30,44.7500,47.3300,43.5200,46.0300,5.6961,67283068,0.0688
2006-05-31,47.0400,48.8800,43.7200,45.8000,5.6334,69384332,0.0000
2006-04-28,45.5900,47.4500,44.8500,46.8500,5.7625,45534488,0.0000
2006-03-31,44.3600,47.9800,44.3600,45.8200,5.6358,81733120,0.0688
2006-02-28,45.6800,45.7500,42.6200,44.7100,5.4672,92320728,0.0000
2006-01-31,48.0000,49.2900,44.2300,45.5700,5.5724,67504568,0.0000
2005-12-30,45.9000,48.7000,43.6700,47.8600,5.8524,59179660,0.0688
